,date,district,pedictions,next_prevalence,errors
178,2020-07-01,Jilib,0.353830632508243,0.3124158815612382,-0.04141475094700481
179,2020-07-01,Jamaame,0.39939336802291076,0.3061224489795918,-0.09327091904331897
180,2020-07-01,Balcad,0.40682327022611786,0.4233865465957157,0.016563276369597812
181,2020-07-01,Sablaale,0.4002156376871095,0.4548825710754017,0.054666933388292205
182,2020-07-01,Badhaadhe,0.3702199974433624,0.2774755168661588,-0.09274448057720364
183,2020-07-01,Baraawe,0.45108006399559336,0.4911894273127753,0.040109363317181956
184,2020-07-01,Borama,0.23296971206695782,0.1912113359430997,-0.04175837612385813
185,2020-07-01,Sheikh,0.1951966553619688,0.1828371278458844,-0.012359527516084406
186,2020-07-01,Waajid,0.44227047555266064,0.4933524973050665,0.05108202175240584
187,2020-07-01,Belet Weyne,0.4933476564513897,0.2474660340737546,-0.24588162237763514
188,2020-07-01,Qoryooley,0.4584434935513527,0.4593911683311274,0.0009476747797746987
190,2020-07-01,Xarardheere,0.40003130868453446,0.2414050822122571,-0.15862622647227737
191,2020-07-01,Qansax Dheere,0.4574542038050084,0.5084745762711864,0.05102037246617802
192,2020-07-01,Gebiley,0.2558246238531629,0.1924063622370446,-0.0634182616161183
193,2020-07-01,Jalalaqsi,0.4867477315621393,0.1947145350286711,-0.2920331965334682
194,2020-07-01,Jowhar,0.45100499525664467,0.4605536885901744,0.009548693333529756
195,2020-07-01,Doolow,0.42489212229995893,0.3641207815275311,-0.06077134077242785
196,2020-07-01,Afgooye,0.4207442378367038,0.4841321666449001,0.06338792880819633
197,2020-07-01,Kismaayo,0.36249817214542335,0.3705150271415331,0.008016854996109768
198,2020-07-01,Diinsoor,0.43015496649556945,0.492387605230163,0.06223263873459356
199,2020-07-01,Xudur,0.45860198459553586,0.5317134742821079,0.07311148968657205
200,2020-07-01,Kurtunwaarey,0.4560796302988889,0.4643330681516839,0.008253437852794976
201,2020-07-01,Bu'aale,0.37203741593103556,0.3788461538461538,0.006808737915118213
202,2020-07-01,Luuq,0.402429374236529,0.3583282114320836,-0.044101162804445426
203,2020-07-01,Ceel Dheer,0.3150919498524645,0.2814535481659239,-0.03363840168654064
204,2020-07-01,Cadale,0.31207443544054025,0.2759462759462759,-0.036128159494264345
205,2020-07-01,Hargeysa,0.18631054786547288,0.1965854943370926,0.010274946471619723
206,2020-07-01,Marka,0.39928078663241146,0.4615277970331346,0.06224701040072317
207,2020-07-01,Baardheere,0.33241969315514275,0.2388133498145859,-0.09360634334055684
209,2020-07-01,Owdweyne,0.20492358706378236,0.1948497854077253,-0.010073801656057063
210,2020-07-01,Bulo Burto,0.5004116651100015,0.1980742778541953,-0.30233738725580617
211,2020-07-01,Hobyo,0.3124479651339566,0.2841803865425912,-0.028267578591365417
212,2020-07-01,Tayeeglow,0.4271603788806289,0.4702754954084098,0.04311511652778088
213,2021-01-01,Waajid,0.48128263177986313,0.4498858793883663,-0.03139675239149681
214,2021-01-01,Badhaadhe,0.3814399410099044,0.4056724072698737,0.024232466259969276
215,2021-01-01,Xudur,0.48725360038514964,0.4472915724098218,-0.03996202797532783
216,2021-01-01,Afgooye,0.4174098899172208,0.4637639420358601,0.0463540521186393
217,2021-01-01,Xarardheere,0.3657724332946282,0.268406014603596,-0.09736641869103224
218,2021-01-01,Baardheere,0.3680631551128646,0.3868994061543999,0.0188362510415353
219,2021-01-01,Jalalaqsi,0.4444636229988061,0.4080728253042081,-0.03639079769459802
220,2021-01-01,Jilib,0.39341138689688404,0.4043924756806527,0.010981088783768633
221,2021-01-01,Balcad,0.3835308427552765,0.4248102325025402,0.041279389747263695
222,2021-01-01,Doolow,0.4382352727199254,0.3515556336790297,-0.0866796390408957
223,2021-01-01,Jowhar,0.45740903918732123,0.4476632959825088,-0.009745743204812418
224,2021-01-01,Gebiley,0.19641103546786937,0.2876174019676151,0.09120636649974573
225,2021-01-01,Diinsoor,0.4544736831195445,0.419636541705207,-0.034837141414337525
226,2021-01-01,Kismaayo,0.40102211118394704,0.3934804082976622,-0.007541702886284862
227,2021-01-01,Ceel Dheer,0.2509506914829466,0.3369272237196765,0.08597653223672991
228,2021-01-01,Kurtunwaarey,0.42835399192994505,0.4575951234622532,0.029241131532308118
229,2021-01-01,Cadale,0.26220247285014947,0.2873604609290601,0.02515798807891062
230,2021-01-01,Luuq,0.41471004406329776,0.3731717928980219,-0.041538251165275875
232,2021-01-01,Marka,0.4276711275079782,0.4460078540314803,0.0183367265235021
233,2021-01-01,Tayeeglow,0.4375351281052384,0.4212055712220329,-0.01632955688320553
234,2021-01-01,Jamaame,0.3918048134136263,0.4376510659496103,0.04584625253598401
235,2021-01-01,Owdweyne,0.2378029366161438,0.2280157801397049,-0.009787156476438907
236,2021-01-01,Hobyo,0.26112683393550684,0.2851447172525171,0.02401788331701027
237,2021-01-01,Bu'aale,0.4280522570463851,0.4008547346761109,-0.02719752237027423
238,2021-01-01,Qansax Dheere,0.4702499943501843,0.4305075046172255,-0.0397424897329588
239,2021-01-01,Qoryooley,0.4479883255024017,0.4512228697099891,0.0032345442075873976
241,2021-01-01,Belet Weyne,0.5089257181901549,0.3071993772609909,-0.20172634092916397
242,2021-01-01,Sablaale,0.428770303999517,0.4486895846702985,0.019919280670781525
243,2021-01-01,Hargeysa,0.20396433887968676,0.2676350893059009,0.06367075042621415
244,2021-01-01,Baraawe,0.45927375672969545,0.4655421778369564,0.006268421107260946
245,2021-01-01,Sheikh,0.21258931833276246,0.2242774189339074,0.011688100601144946
246,2021-01-01,Bulo Burto,0.4849034033605386,0.3462197497828791,-0.1386836535776595
247,2021-01-01,Borama,0.1835530626403672,0.2772673624137732,0.093714299773406
