Region,district
Shabelle Dhexe,Adan Yabaal
Shabelle Hoose,Afgooye
Juba Hoose,Afmadow
Gedo,Baardheere
Juba Hoose,Badhaadhe
Shabelle Dhexe,Balcad
Shabelle Hoose,Baraawe
Bay,Baydhaba
Hiraan,Belet Weyne
Gedo,Belet Xaawo
Awdal,Borama
Juba Dhexe,Bu'aale
Togdheer,Burco
Bay,Buur Hakaba
Shabelle Dhexe,Cadale
Galgaduud,Ceel Bur
Galgaduud,Ceel Dheer
Bay,Diinsoor
Gedo,Doolow
Bakool,El berde
Gedo,Garbaharey/Burdhuubo
Wuqooie Galbeed,Gebiley
Togdheer,Hagar
Wuqooie Galbeed,Hargeysa
Mudug,Hobyo
Hiraan,Jalalaqsi
Juba Hoose,Jamaame
Juba Dhexe,Jilib
Shabelle Dhexe,Jowhar
Juba Hoose,Kismaayo
Shabelle Hoose,Kurtunwaarey
Gedo,Luuq
Shabelle Hoose,Marka
Togdheer,Owdweyne
Bay,Qansax Dheere
Shabelle Hoose,Qoryooley
Bakool,Rab Dhuure
Juba Dhexe,Saakow
Shabelle Hoose,Sablaale
Togdheer,Sheikh
Bakool,Tayeeglow
Bakool,Waajid
Shabelle Dhexe,Wanla weyn
Mudug,Xarardheere
Bakool,Xudur
Bari,Iskushuban
Nugaal,Garoowe
Gedo,Garbahaarey
Mudug,Galdogob
Mudug,Gaalkacyo
Sanaag,Eyl
Sanaag,Ceel Afweyn
Sool,Caynabo
Togdheer,Buuhoodle
Nugaal,Burtinle
Bari,Bossaso
Wuqooie Galbeed,Berbera
Mudug,Jariiban
Awdal,Zeylac
Sool,Xudun
Shabelle Hoose,Wanla Weyn
Sool,Taleex
Bari,Qardho
Bari,Qandala
Awdal,Lughaye
Awdal,Baki
Galgaduud,Cabudwaaq
Galgaduud,Dhuusamarreeb
Sanaag,Ceerigaabo
Gedo,Ceel Waaq
Galgaduud,Ceel Buur
Bari,Caluula
Sanaag,Laasqoray
Sool,Laas Caanood
Bari,Bandarbeyla
Bakool,Ceel Barde
Galgaduud,Cadaado
